eventx,eventy,eventtime
2672129.71364366,244902.042991992,2007-01-01 05:21:00.000
2702763.36697817,251091.9100158,2007-01-03 12:11:00.000
2677346.78623766,225962.05531848,2007-01-03 19:47:00.000
2707120.84480722,250355.400989686,2007-01-03 19:57:00.000
2673063.62131701,226725.740825168,2007-01-04 00:18:00.000
2696613.94496855,254193.916150114,2007-01-04 00:24:00.000
2673978.64880021,230732.554739463,2007-01-10 18:51:00.000
2675779.88716506,235490.081161959,2007-01-10 20:26:00.000
2712632.87151702,265606.981417702,2007-01-11 12:30:00.000
2675711.15558396,238555.945311176,2007-01-11 22:47:00.000
2695235.76514848,268653.939480357,2007-01-12 22:12:00.000
2700971.51177214,260432.150032676,2007-01-13 06:17:00.000
2687436.05980748,250874.068339288,2007-01-13 10:03:00.000
2695951.86462436,268364.386254694,2007-01-13 15:19:00.000
2674883.53197921,225176.153548567,2007-01-13 17:57:00.000
2674047.61148235,223477.951954793,2007-01-14 00:03:00.000
2695887.466645,235813.561125828,2007-01-14 01:49:00.000
2722021.15249186,266625.266665896,2007-01-14 01:54:00.000
2688223.93372221,245615.657642049,2007-01-14 17:16:00.000
2702710.24914028,253800.134268281,2007-01-22 23:24:00.000
2675967.41607421,238446.308115542,2007-01-25 00:31:00.000
2706049.7203788,253346.710375087,2007-01-31 14:29:00.000
2683543.08798098,272078.011713426,2007-02-02 03:42:00.000
2703868.11506954,251019.595900648,2007-02-11 20:06:00.000
2692540.0895823,212846.705037929,2007-02-12 20:29:00.000
2692540.0895823,212846.705037929,2007-02-13 03:09:00.000
2692540.0895823,212846.705037929,2007-02-13 03:09:00.000
2695780.5834813,226111.637437625,2007-02-14 07:51:00.000
2703502.19554082,251403.101900015,2007-02-15 06:48:00.000
2686614.06154193,229361.993949373,2007-02-15 16:47:00.000
2687278.60849679,244347.945144105,2007-02-17 01:55:00.000
2717075.95474355,255699.357852299,2007-02-23 18:56:00.000
2730255.13093339,277043.533571922,2007-02-23 23:29:00.000
2708660.08006034,265841.988384095,2007-02-24 01:59:00.000
2700390.90204875,261578.535290807,2007-02-24 21:04:00.000
2716465.11091105,260673.518986511,2007-02-25 19:02:00.000
2692816.83882895,252321.354318354,2007-02-26 14:52:00.000
2698720.12360399,262914.65778087,2007-02-26 18:57:00.000
2688175.73211103,226867.741104508,2007-03-05 16:19:00.000
2690647.34316785,226530.225582856,2007-03-06 15:29:00.000
2687391.43615262,270136.715968898,2007-03-06 21:54:00.000
2693561.18920869,277583.035332002,2007-03-08 06:41:00.000
2703271.57004836,249686.569864911,2007-03-08 10:26:00.000
2675644.9569923,233168.022282692,2007-03-09 15:18:00.000
2696547.42443834,224512.495158131,2007-03-15 20:49:00.000
2679852.77344062,258878.015522874,2007-03-16 11:02:00.000
2692859.30083691,263485.889653047,2007-03-17 22:37:00.000
2693087.42909123,236563.784924624,2007-03-19 01:48:00.000
2705889.37555071,253919.41135835,2007-03-20 15:01:00.000
2698496.58708928,262945.242850813,2007-03-20 18:43:00.000
2703908.37895948,251340.14273609,2007-03-20 21:18:00.000
2694469.94953847,243118.077792958,2007-03-21 05:04:00.000
2694005.09685101,273626.127877389,2007-03-26 13:17:00.000
2696126.79931014,231019.262066066,2007-03-26 20:50:00.000
2696886.98285454,273978.846322381,2007-03-27 10:41:00.000
2714475.82343125,260194.106215857,2007-03-29 01:19:00.000
2693352.08094717,273309.723032543,2007-03-29 21:25:00.000
2694914.35519748,224442.709503523,2007-03-30 02:44:00.000
2696356.70047592,277290.300540793,2007-04-04 23:05:00.000
2687476.70407167,247908.516721224,2007-04-06 00:30:00.000
2672491.25838814,236498.761295659,2007-04-06 22:59:00.000
2671517.98291434,239025.182827842,2007-04-08 00:13:00.000
2689110.77568254,266972.654391758,2007-04-08 02:13:00.000
2672065.57989884,245239.283739804,2007-04-15 15:41:00.000
2726669.79074138,267673.047593512,2007-04-16 10:01:00.000
2676263.97622989,243879.80788588,2007-04-16 13:28:00.000
2682210.24318691,235405.656096135,2007-04-16 16:29:00.000
2697957.47443263,234414.963378221,2007-04-17 18:47:00.000
2693631.00708029,236868.139619325,2007-04-18 09:55:00.000
2681956.43833848,243201.904604048,2007-04-25 12:49:00.000
2677726.27126678,241436.950567236,2007-04-25 23:42:00.000
2695304.13591354,225135.966583871,2007-04-26 06:13:00.000
2695304.13591354,225135.966583871,2007-04-26 09:45:00.000
2700185.36108715,252768.966802563,2007-04-28 00:27:00.000
2696013.07545041,226996.221632684,2007-04-28 06:53:00.000
2689777.03363802,228926.528826807,2007-04-28 16:45:00.000
2692157.52877455,242953.950986216,2007-04-28 16:45:00.000
2696026.27280321,272470.34720876,2007-04-29 01:27:00.000
2690367.69049056,229937.824108941,2007-05-01 00:26:00.000
2688509.19037894,284187.043425241,2007-05-01 17:10:00.000
2731802.43047553,296958.329957978,2007-05-03 11:30:00.000
2675986.81969413,243848.796443225,2007-05-09 21:24:00.000
2693983.52589053,279286.586897685,2007-05-10 12:59:00.000
2676261.78982482,238408.057502449,2007-05-10 15:51:00.000
2675709.89329125,228216.681204102,2007-05-11 11:45:00.000
2720070.75009611,263844.298352693,2007-05-11 19:16:00.000
2673014.01002994,235490.673853184,2007-05-11 22:05:00.000
2672841.14249333,234182.983620872,2007-05-11 23:36:00.000
2722311.35918806,258872.509607593,2007-05-18 00:12:00.000
2681326.1010272,243348.076628153,2007-05-18 00:43:00.000
2695408.74363847,226164.661973449,2007-05-18 01:27:00.000
2696957.54017696,230502.006294546,2007-05-19 01:05:00.000
