eventx,eventy,eventtime
2696957.54017696,230502.006294546,2007-05-19 01:49:00.000
2715314.94829346,260957.403360575,2007-05-19 18:53:00.000
2692080.8344791,228156.652787991,2007-05-19 23:57:00.000
2689643.92847637,251981.10148498,2007-05-20 06:23:00.000
2694739.90116148,249745.7893845,2007-05-20 11:08:00.000
2694454.08221074,249790.771966359,2007-05-20 14:16:00.000
2690777.85931853,263510.973200838,2007-05-22 20:50:00.000
2736358.10287786,275273.955329037,2007-05-28 13:59:00.000
2690276.34419062,251235.891047125,2007-05-30 00:04:00.000
2677569.78210184,265988.658500475,2007-05-30 12:27:00.000
2696684.31447279,231802.019512705,2007-06-01 02:23:00.000
2693949.52651555,249397.933252739,2007-06-01 04:22:00.000
2713365.32073461,267428.537081179,2007-06-06 22:39:00.000
2717219.65563897,260196.047212733,2007-06-07 03:28:00.000
2672207.10837194,235595.771826098,2007-06-07 10:49:00.000
2722353.4337,262386.776890112,2007-06-08 09:11:00.000
2701004.58334014,242362.916562609,2007-06-09 15:52:00.000
2673176.03836337,231162.519536454,2007-06-09 16:20:00.000
2699707.00615175,255332.0570515,2007-06-09 16:33:00.000
2693256.14728287,248813.118480926,2007-06-10 00:47:00.000
2699570.45629778,248294.925737804,2007-06-10 02:11:00.000
2696212.28095554,226674.287014643,2007-06-16 01:25:00.000
2692777.93104231,254581.00301505,2007-06-16 22:29:00.000
2686509.20018868,251991.621644606,2007-06-18 00:21:00.000
2677726.96332265,236631.978534505,2007-06-18 06:01:00.000
2697002.92841483,251145.693829252,2007-06-19 11:36:00.000
2674334.18137666,223834.853222763,2007-06-25 01:03:00.000
2706907.88545806,269116.098000485,2007-06-25 18:31:00.000
2705347.64460459,269371.941386831,2007-06-26 18:07:00.000
2672866.15602092,241770.95253638,2007-06-28 07:10:00.000
2703346.80856004,262275.487780126,2007-06-28 09:07:00.000
2699192.50605235,255054.690414724,2007-06-28 11:19:00.000
2694092.3505438,272902.829723066,2007-07-04 14:59:00.000
0,0,2007-07-05 00:25:00.000
2692173.1813837,270014.095369296,2007-07-05 15:32:00.000
2692692.93816689,245155.946638583,2007-07-05 22:27:00.000
2695854.55716876,278998.813251126,2007-07-06 20:43:00.000
2703252.2681096,253726.875490968,2007-07-07 19:09:00.000
2686550.1638339,228895.459260446,2007-07-08 18:17:00.000
2694819.76441652,249179.72921746,2007-07-09 01:01:00.000
2712405.97478915,252077.229739297,2007-07-09 08:22:00.000
2676827.68180773,234779.297346779,2007-07-10 20:35:00.000
2726993.05865276,267896.762116473,2007-07-11 00:54:00.000
2700139.42636203,263284.765291231,2007-07-11 18:09:00.000
2671527.92157018,237014.828932853,2007-07-12 19:59:00.000
2695406.68147965,271700.712078856,2007-07-13 01:16:00.000
2726537.53193422,263737.608705202,2007-07-13 02:21:00.000
2693056.07911699,277808.866536136,2007-07-20 01:34:00.000
2719686.1578336,268570.070552739,2007-07-20 06:08:00.000
2672174.73578843,238091.46506021,2007-07-21 12:04:00.000
2696648.28229515,256305.849252963,2007-07-21 21:46:00.000
2675908.89407111,225870.841234376,2007-07-22 00:35:00.000
2673938.07746312,248040.536175107,2007-07-22 00:51:00.000
2675908.89407111,225870.841234376,2007-07-22 02:08:00.000
2675908.89407111,225870.841234376,2007-07-22 02:08:00.000
2694142.54181845,249277.877924565,2007-07-22 04:55:00.000
2688440.87346575,241476.93936292,2007-07-22 20:06:00.000
2670822.0737108,240275.043927028,2007-07-23 12:57:00.000
2700897.78959792,239457.708385308,2007-07-23 18:50:00.000
2718152.87886549,258789.228097821,2007-07-24 01:18:00.000
2699944.37291404,253007.041289302,2007-07-29 17:04:00.000
2688844.80762295,269985.656522342,2007-07-30 02:41:00.000
2699343.79679455,269086.679724398,2007-07-31 20:24:00.000
2688364.51107983,248891.736116992,2007-08-01 04:47:00.000
2693235.06789306,249584.087934476,2007-08-01 18:32:00.000
2678032.86943624,232464.09151174,2007-08-01 21:48:00.000
2697293.34506064,263668.708727551,2007-08-03 02:17:00.000
2695977.64314154,257579.65355389,2007-08-09 01:33:00.000
2709414.08632934,269047.860662756,2007-08-09 10:14:00.000
2675092.88535097,211472.386451988,2007-08-11 11:42:00.000
2681228.9091475,223351.215996563,2007-08-12 00:34:00.000
2689720.01611357,247499.592881529,2007-08-12 03:16:00.000
2696554.03928472,243944.585552414,2007-08-18 20:34:00.000
2704394.7569515,249400.566992793,2007-08-18 21:17:00.000
2672903.01768036,238841.507995177,2007-08-20 04:17:00.000
2707579.20936479,267621.866362188,2007-08-29 07:45:00.000
2697802.75824178,269050.244205067,2007-08-29 10:28:00.000
2693609.27537,243620.65637048,2007-08-29 14:16:00.000
2688215.84755255,228369.188753635,2007-08-29 14:35:00.000
2692971.72731326,249991.851803884,2007-08-31 01:08:00.000
2683639.86052397,239819.018696301,2007-09-01 02:20:00.000
2705407.52532232,252681.613126941,2007-09-01 03:03:00.000
2687389.64396395,248468.294590552,2007-09-01 03:10:00.000
2671387.54297684,241326.266846191,2007-09-01 04:01:00.000
2703674.73402583,261654.278387901,2007-09-01 18:09:00.000
2692486.02080285,229020.010495176,2007-09-01 21:23:00.000
2686535.61309826,249148.765968432,2007-09-01 23:32:00.000
2681528.5648313,258284.436367038,2007-09-02 01:15:00.000
2707133.37686951,257164.31146458,2007-09-02 04:43:00.000
2690817.97569524,228787.048255176,2007-09-07 22:59:00.000
2693825.31729046,255036.957744374,2007-09-07 23:51:00.000
2701877.15437888,247595.182774969,2007-09-08 01:23:00.000
2715655.18002297,267028.436658527,2007-09-08 01:43:00.000
2689162.45743136,268419.080932402,2007-01-05 19:03:00.000
2692395.7833305,269125.206298026,2007-01-05 22:31:00.000
2688683.01274033,251150.668630273,2007-01-07 01:02:00.000
2713981.8436954,266541.529259319,2007-01-07 10:29:00.000
2713271.96795151,256791.052569586,2007-01-07 20:38:00.000
2690416.19382454,249785.290794011,2007-01-07 22:52:00.000
2674359.35069787,229944.002052421,2007-01-08 02:12:00.000
2699171.42298155,266244.9087218,2007-01-08 04:55:00.000
2701752.70462438,250883.761007974,2007-01-09 13:11:00.000
2670125.89197911,244900.48063038,2007-01-17 18:28:00.000
2723276.69373433,262246.966977092,2007-01-20 00:34:00.000
2715934.30997097,254649.920856454,2007-01-26 06:07:00.000
2706266.99315559,266414.173733544,2007-01-26 15:08:00.000
2678740.50895564,227811.955566011,2007-01-27 11:05:00.000
2720945.7390176,279129.640968971,2007-01-28 02:07:00.000
2706120.00577443,263498.578214854,2007-01-28 03:08:00.000
2692358.67127936,279924.176326229,2007-01-29 23:06:00.000
2695697.73780804,224731.274076206,2007-01-30 00:46:00.000
2709148.0704435,255189.55884235,2007-01-30 21:55:00.000
2697508.57950828,267833.980887482,2007-02-06 05:56:00.000
2700090.21442651,262889.177823653,2007-02-08 01:14:00.000
2714049.65806094,265998.492812983,2007-02-08 18:57:00.000
2674385.3240708,247882.967348919,2007-02-09 00:26:00.000
2672578.08510488,232209.944535228,2007-02-09 07:26:00.000
2696806.51981436,236448.244847876,2007-02-10 02:06:00.000
2676265.92276128,224084.201453827,2007-02-10 18:15:00.000
2696986.2849265,261419.396168164,2007-02-17 23:55:00.000
2723743.01679783,284135.743285787,2007-02-18 03:40:00.000
2702194.77343989,251115.838839107,2007-02-18 15:01:00.000
2674928.12692222,231693.370888515,2007-02-18 23:13:00.000
2716801.83217386,251692.82289626,2007-02-21 00:24:00.000
2723543.38669703,261857.644176978,2007-02-21 08:04:00.000
2676303.63678177,238758.563369491,2007-02-22 16:35:00.000
2676644.07101325,243732.754028206,2007-02-28 11:13:00.000
2686227.74179147,240857.81156097,2007-03-01 01:09:00.000
2686227.74179147,240857.81156097,2007-03-01 02:07:00.000
2693052.62429596,236186.583748311,2007-03-03 01:15:00.000
2712073.20127809,263808.710501515,2007-03-03 03:33:00.000
2693216.00258963,250618.289202619,2007-03-04 03:36:00.000
2690810.81684892,245499.315909348,2007-03-05 04:43:00.000
2681647.81652142,243141.633138623,2007-03-11 04:31:00.000
2691778.31631124,249016.170528974,2007-03-11 10:16:00.000
2697265.82458943,226972.946227572,2007-03-12 14:21:00.000
2692218.49960545,243418.608027717,2007-03-12 18:37:00.000
2693737.51756412,280228.035234961,2007-03-12 19:15:00.000
2676261.78982482,238408.057502449,2007-03-12 23:16:00.000
2691639.3713892,253026.189510799,2007-03-13 16:27:00.000
2706057.28549434,264174.688285178,2007-03-14 21:23:00.000
2708509.95045645,249022.305854021,2007-03-15 15:05:00.000
2687230.79538163,248839.376657695,2007-03-21 16:20:00.000
2668249.07702453,243891.970201822,2007-03-21 22:33:00.000
2710240.01879068,256044.437695011,2007-03-22 15:45:00.000
2704065.7158724,262459.06090533,2007-03-23 02:10:00.000
2710881.2135671,264146.562930276,2007-03-24 19:54:00.000
2675236.54858786,239959.939199681,2007-03-24 22:35:00.000
2674100.27574555,230849.610965619,2007-03-25 16:37:00.000
2690412.38505653,252490.842775303,2007-03-25 17:16:00.000
2694803.28791443,255609.245210928,2007-03-25 23:41:00.000
2697214.25214367,259411.862321204,2007-03-26 03:12:00.000
2690961.34018237,252577.266100936,2007-03-30 22:05:00.000
2678025.60161871,240284.826986553,2007-03-31 05:44:00.000
0,0,2007-03-31 17:24:00.000
2671048.8272896,239089.600816541,2007-03-31 23:08:00.000
2701459.66369847,263967.431238163,2007-04-01 00:33:00.000
2671833.10634841,223722.590977191,2007-04-01 14:49:00.000
2690266.95414221,270841.811471268,2007-04-03 10:55:00.000
2695616.92997599,253462.817085042,2007-04-12 08:25:00.000
2692317.93556543,229360.706218864,2007-04-13 17:33:00.000
2694047.83429103,255016.318933158,2007-04-14 14:24:00.000
2707054.11400828,251855.971222464,2007-04-20 21:37:00.000
2674519.35332942,234954.435308373,2007-04-21 00:23:00.000
2707733.78079235,263959.349080983,2007-04-21 05:10:00.000
2694352.91238707,235453.881763949,2007-04-21 09:30:00.000
2695670.983375,255339.840100671,2007-04-21 13:06:00.000
2695510.31719595,254201.817135889,2007-04-21 16:47:00.000
2691273.79974524,261181.70312473,2007-04-21 22:24:00.000
2679075.78274992,228039.609712751,2007-04-21 22:26:00.000
2692177.56669014,265813.622540729,2007-04-22 21:58:00.000
2703943.47457064,263011.794364152,2007-04-22 22:35:00.000
2688222.78384678,251202.850513678,2007-04-23 19:12:00.000
2701784.48982549,255388.212189484,2007-05-06 04:18:00.000
2700508.51249688,243591.389465284,2007-05-13 00:04:00.000
2689109.48667574,272962.452030907,2007-05-14 06:17:00.000
0,0,2007-05-14 08:00:00.000
2699077.53957148,246666.875605005,2007-05-15 10:14:00.000
2671101.7095627,243968.508316099,2007-05-15 23:54:00.000
2681076.38871032,242486.698289856,2007-05-17 22:43:00.000
2672378.13285917,223557.296976041,2007-05-23 12:58:00.000
2688117.18599262,228088.212771981,2007-05-25 16:19:00.000
2694139.29415289,245880.231009119,2007-06-01 23:33:00.000
2733426.42162868,271044.816940616,2007-06-03 00:34:00.000
2675051.08675307,237431.093578515,2007-06-03 01:22:00.000
2697067.32985859,262056.056867977,2007-06-04 14:52:00.000
2691478.15557606,266568.110813284,2007-06-05 02:02:00.000
2697438.54031198,264765.711468314,2007-06-05 02:06:00.000
2673446.16987286,234431.639702513,2007-06-10 22:35:00.000
2673446.16987286,234431.639702513,2007-06-11 02:34:00.000
2676737.95738426,225923.032048085,2007-06-11 13:35:00.000
2742205.876124,291773.508199457,2007-06-13 14:08:00.000
0,0,2007-06-13 23:36:00.000
2676687.16048047,239506.393945462,2007-06-20 17:10:00.000
0,0,2007-06-20 19:43:00.000
2675014.84937014,240832.914911709,2007-06-20 23:16:00.000
2698313.72022798,244749.647771628,2007-06-21 02:26:00.000
2698313.72022798,244749.647771628,2007-06-21 04:08:00.000
2698313.72022798,244749.647771628,2007-06-21 04:09:00.000
2705043.39430745,250055.336475144,2007-06-21 17:14:00.000
2705043.39430745,250055.336475144,2007-06-21 18:25:00.000
2675456.93383965,232558.650482698,2007-06-21 22:25:00.000
2683768.59536542,240693.996586931,2007-06-22 04:58:00.000
2702049.00991841,257307.716022142,2007-06-22 10:40:00.000
2680456.57931151,241029.570898169,2007-06-23 02:31:00.000
2669974.24040839,245747.614491639,2007-06-24 20:29:00.000
2727689.86640982,288533.567996398,2007-06-30 00:01:00.000
2696267.66757864,226371.774950367,2007-06-30 02:07:00.000
2687742.34124885,228300.40718757,2007-07-02 23:29:00.000
0,0,2007-07-04 00:22:00.000
2673571.20066767,244618.296707743,2007-07-04 04:35:00.000
2706915.26702297,253776.43789077,2007-07-04 10:47:00.000
2694935.88624904,229600.504246967,2007-07-14 16:05:00.000
2697980.40931416,251011.554918288,2007-07-15 01:56:00.000
2678447.18923498,231669.687742584,2007-07-17 01:36:00.000
2701207.41578093,252267.541907053,2007-07-17 09:55:00.000
2672468.1715322,235564.209362621,2007-07-17 20:28:00.000
2736554.23664894,300489.990702938,2007-07-18 23:44:00.000
2688341.85986234,229288.409622599,2007-07-19 00:32:00.000
2674307.29968952,245360.505480084,2007-07-19 08:04:00.000
0,0,2007-07-25 15:54:00.000
2691169.20375739,251952.245768286,2007-07-25 22:45:00.000
2670396.57003578,241459.287833566,2007-07-28 02:19:00.000
2692979.54966816,243162.165154252,2007-07-28 04:46:00.000
0,0,2007-07-28 09:37:00.000
2698086.24349238,255061.869544858,2007-07-28 13:43:00.000
2681245.28781775,254235.59717151,2007-07-28 15:38:00.000
2706971.24021609,261229.894673827,2007-07-28 18:52:00.000
2686170.38921122,251147.400615951,2007-07-29 04:24:00.000
2685452.64702139,259992.976868407,2007-08-03 19:10:00.000
2709695.76082581,269455.405642052,2007-08-03 23:52:00.000
2693001.35269111,232261.792168912,2007-08-05 06:09:00.000
2696573.56484832,275338.11709145,2007-08-05 11:39:00.000
2671645.22245119,233579.829411892,2007-08-07 02:12:00.000
2699432.90950293,261498.073101555,2007-08-08 07:22:00.000
2695638.21392466,237283.464645124,2007-08-14 09:14:00.000
0,0,2007-08-14 21:44:00.000
2711982.22167207,257359.245872377,2007-08-15 17:21:00.000
2689227.24547683,245467.089122352,2007-08-15 18:09:00.000
2673038.73639854,237248.690099437,2007-08-16 00:27:00.000
2675502.75004506,220892.842942644,2007-08-16 16:18:00.000
2674978.92830637,228701.389572047,2007-08-16 23:28:00.000
2706670.38115289,253111.926743044,2007-08-17 00:26:00.000
2688379.05303728,252330.124595533,2007-08-17 03:19:00.000
2695921.61704498,260624.160823956,2007-08-17 23:04:00.000
2687996.78145633,231711.707751575,2007-08-23 22:04:00.000
2694791.76755901,258847.994009162,2007-08-24 14:15:00.000
2689004.25403812,251265.985301624,2007-08-25 02:20:00.000
2696001.77724076,263091.167159094,2007-08-25 22:27:00.000
2675908.89407111,225870.841234376,2007-08-26 01:12:00.000
2737834.23646927,293721.488179773,2007-08-26 02:38:00.000
2703792.56343829,248961.608415691,2007-08-26 13:10:00.000
2696366.0724072,252405.663146359,2007-08-26 21:16:00.000
2684419.05387959,260982.977648574,2007-08-27 02:12:00.000
2735872.16969928,279148.617178848,2007-08-27 21:48:00.000
2680244.14591276,239457.328843983,2007-08-27 23:18:00.000
2694675.78189207,250656.74032842,2007-09-03 06:34:00.000
2691354.45376954,235282.734622303,2007-09-03 12:17:00.000
2711732.20410166,251627.475330013,2007-09-04 16:25:00.000
2675416.94660544,210680.396631644,2007-09-05 20:57:00.000
2693414.32651055,248780.624949928,2007-09-06 01:06:00.000
2699801.09936148,249061.105812189,2007-09-06 16:53:00.000
2729859.67132081,263622.118547445,2007-09-07 09:15:00.000
2714914.93254675,265642.840871561,2007-09-14 02:11:00.000
2708114.76632295,252945.290210245,2007-09-14 03:53:00.000
2691470.33390938,248466.724916443,2007-09-14 18:39:00.000
2726772.18864627,279535.696986051,2007-09-14 19:15:00.000
2716738.01606798,259206.005596702,2007-09-16 02:25:00.000
2702553.09213905,252644.572483616,2007-09-16 02:45:00.000
2698340.20170384,251551.283892619,2007-09-23 01:45:00.000
0,0,2007-09-23 07:32:00.000
2670469.0390864,242016.399777542,2007-09-24 18:08:00.000
2672443.74093246,236300.969100345,2007-09-25 03:50:00.000
2672355.92632634,240072.160661582,2007-09-25 13:50:00.000
2676163.42344648,240958.556300527,2007-09-25 17:45:00.000
2727171.20946729,264464.430975822,2007-09-26 10:26:00.000
2686018.53913642,229442.636671731,2007-09-26 18:15:00.000
2687071.97078435,250804.511821198,2007-10-03 22:13:00.000
2703787.27619217,250088.002959276,2007-09-09 16:40:00.000
2691508.26819644,224102.870071429,2007-09-10 14:26:00.000
2714171.86022048,272645.841299085,2007-09-11 14:58:00.000
2674280.06378674,236258.333287246,2007-09-19 16:42:00.000
2694094.88083902,250411.243946807,2007-09-20 00:10:00.000
2699530.99690762,260221.758137866,2007-09-20 09:25:00.000
2703981.18039716,251885.919841037,2007-09-22 02:04:00.000
2676891.6070452,239756.476165019,2007-09-22 02:06:00.000
2703921.09167045,251412.757689127,2007-09-22 02:47:00.000
2687764.51614304,225100.791970224,2007-09-28 03:02:00.000
2699631.71005403,239341.440863545,2007-09-28 03:32:00.000
0,0,2007-09-29 03:12:00.000
2673007.32177155,226792.159657086,2007-09-30 14:53:00.000
2699103.38569899,235401.32724736,2007-10-01 14:56:00.000
2696280.29483222,256357.8567243,2007-10-06 21:06:00.000
2701891.57560719,256224.950433804,2007-10-06 23:55:00.000
2716342.86340725,269700.176191015,2007-10-07 12:16:00.000
2682593.02405497,240906.967330176,2007-10-08 01:56:00.000
2709640.04656879,268361.5472902,2007-10-08 14:17:00.000
0,0,2007-10-16 18:39:00.000
2698044.48574714,264612.942728722,2007-10-17 15:10:00.000
2715016.42481181,258263.062106204,2007-10-17 18:11:00.000
2702524.00526915,265785.17023318,2007-10-17 23:37:00.000
2693716.42221839,261258.66905287,2007-10-18 09:38:00.000
2718534.31498523,259708.568824116,2007-10-19 15:50:00.000
2702350.49625939,251084.14498272,2007-10-25 18:54:00.000
2693936.65494433,234726.945699977,2007-10-25 21:52:00.000
2696789.26593909,276540.039975988,2007-10-26 02:52:00.000
2712433.86111808,273431.099534434,2007-10-26 03:28:00.000
2700836.14066484,253471.238229862,2007-10-27 01:14:00.000
2694099.13221134,249280.790775743,2007-10-27 12:10:00.000
2699340.45363513,258846.184259525,2007-10-28 01:03:00.000
2683791.00932627,237122.502154529,2007-10-28 02:02:00.000
2700089.54097705,264401.997499727,2007-10-28 18:38:00.000
2708012.03644416,265344.995861575,2007-10-29 01:20:00.000
2723023.49251442,270650.099036682,2007-10-30 06:21:00.000
2694644.89419812,249201.40562288,2007-10-30 15:20:00.000
2677419.21087284,230353.178474626,2007-10-30 20:05:00.000
2706553.03743127,252859.338117577,2007-11-05 11:59:00.000
2692160.2082366,250104.855596893,2007-11-06 19:23:00.000
2697439.40363531,255316.334935501,2007-11-07 03:17:00.000
2693258.11544298,247654.287606475,2007-11-07 17:43:00.000
2702777.56998849,269737.403701029,2007-11-07 22:53:00.000
2689836.05734137,227260.311123281,2007-11-08 21:33:00.000
2741733.17033542,290225.715167205,2007-11-09 20:27:00.000
2673384.67643076,226393.995568591,2007-11-10 02:51:00.000
2689074.39492466,226462.922603175,2007-11-16 23:12:00.000
2687158.70631777,272372.720815594,2007-11-17 01:50:00.000
2694005.05860869,274925.994773521,2007-11-17 20:35:00.000
2695668.11489424,251915.616132454,2007-11-18 01:57:00.000
2695668.11489424,251915.616132454,2007-11-18 03:47:00.000
2699503.85691262,234992.793239526,2007-11-18 04:12:00.000
2674759.88255013,224777.90874122,2007-11-19 19:18:00.000
2691056.09703348,238394.718302005,2007-11-28 11:24:00.000
2694048.34038487,252137.071230885,2007-11-28 16:18:00.000
2675486.90731512,229540.083483036,2007-11-29 14:05:00.000
2696628.56078644,247735.651817653,2007-11-29 17:26:00.000
2689614.46654668,228956.913196296,2007-11-30 14:48:00.000
2735743.46891554,275812.985903568,2007-12-02 12:01:00.000
2682349.01321115,239387.184182285,2007-12-03 23:45:00.000
2711258.12563571,248261.540286149,2007-12-04 17:01:00.000
2671279.10937307,216076.112121754,2007-12-05 00:46:00.000
2677952.15067962,226988.462431472,2007-12-11 13:25:00.000
2694624.52884669,244216.05257117,2007-12-13 02:49:00.000
2690850.71891566,245245.381187084,2007-12-13 17:39:00.000
0,0,2007-12-15 20:06:00.000
2677389.96224456,230642.378818181,2007-12-22 15:23:00.000
2675228.64070463,236329.102203542,2007-12-24 03:28:00.000
2682044.05861787,259584.87845128,2007-12-24 14:45:00.000
2694785.2650562,250559.706663348,2007-12-25 14:16:00.000
2672125.05778291,241572.796436829,2007-12-25 19:30:00.000
2691386.10322228,251681.177383143,2007-12-25 21:52:00.000
2692080.65009064,249556.974583821,2008-01-02 20:19:00.000
2701673.98641247,251319.195073434,2008-01-02 21:15:00.000
2712601.6885393,250410.211311391,2008-01-04 11:47:00.000
2745199.42635406,285876.224849714,2008-01-04 20:18:00.000
2690817.31692914,254850.981907228,2008-01-05 20:21:00.000
2692640.10936147,263204.594534845,2008-01-11 21:23:00.000
2690289.21345422,246594.58781341,2008-01-12 00:26:00.000
2680350.05586642,235852.796279006,2008-01-12 00:30:00.000
2700031.70339611,245050.006823554,2008-01-12 23:14:00.000
2691991.37646719,277800.78428293,2008-01-13 06:10:00.000
2690867.97717595,244249.447329628,2008-01-14 00:26:00.000
2693871.3868519,225476.792134232,2008-01-15 20:17:00.000
2700157.6850459,239283.410251665,2008-01-21 11:49:00.000
2689448.95225085,253341.272029177,2008-01-22 17:49:00.000
2724215.40862943,260938.743897475,2008-01-23 10:31:00.000
2741649.54796435,290227.224061653,2008-01-23 20:23:00.000
2714864.03211112,265850.733240789,2008-01-25 17:46:00.000
2714622.8511178,259918.053352035,2008-01-31 01:18:00.000
2677660.05948572,238416.463415118,2008-01-31 11:51:00.000
2677660.05948572,238416.463415118,2008-01-31 13:12:00.000
2714448.07805601,260637.68452296,2008-02-02 18:35:00.000
2692885.87507293,225665.378747162,2008-02-02 20:43:00.000
2683281.88821669,241841.271806886,2008-02-03 03:10:00.000
2674898.10369836,224160.767050935,2008-02-04 07:17:00.000
2723610.81949549,271426.544095851,2008-02-09 16:15:00.000
2687507.93723852,249274.024708415,2008-02-09 23:35:00.000
2703153.24753682,252956.206029733,2008-02-11 18:27:00.000
2686478.65850157,248587.752721126,2008-02-19 14:51:00.000
